location_id,prediction_period_start,admin1_region,admin2_zone,admin3_woreda,high_surveillance_risk_probability,poor_stool_adequacy_probability,delayed_reporting_probability,under_vaccinated_afp_probability,suspected_poliovirus_probability,alert_level,alert_role,source_zone_high_risk_count,source_zone_max_high_surveillance_risk_probability,source_zone_top_source_woreda,alert_reasons,recommended_action
ETH:e85802f33065,2026-01-01,Oromia,East Hararge,Fadis,0.003675171,0.07001306,0.3211014,0.38790447,0.09468388,critical,high_risk_source,12,0.03184408,Fadis,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:5c0348a5d25b,2026-01-01,Oromia,South West Shewa,Bacho,0.003606647,0.22554809,0.47486618,0.30968082,0.08496115,critical,high_risk_source,2,0.003606647,Bacho,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:07b548cf3fac,2026-01-01,Amhara,North Wollo,Meket,0.003540008,0.13648295,0.69832325,0.25415787,0.10011159,critical,high_risk_source,7,0.003540008,Meket,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:05fde8684fe4,2026-01-01,Amhara,North Wollo,Kobo Town,0.0034130255,0.42996383,0.73494166,0.23462868,0.19390324,critical,high_risk_source,7,0.003540008,Meket,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:63a1e4679107,2026-01-01,Oromia,Shagar City,Burayu Town,0.0033902247,0.21964753,0.37991735,0.16857286,0.05477721,critical,high_risk_source,8,0.013875342,Melka Nonno,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:3d6ff697aeb7,2026-01-01,Addis Ababa,Arada,Arada,0.003365747,0.05213097,0.512627,0.19068606,0.11820319,critical,high_risk_source,1,0.003365747,Arada,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:d85588c4cba4,2026-01-01,Oromia,Ilu Aba Bora,Allee,0.0032337157,0.11934445,0.34999686,0.14293651,0.20528825,critical,high_risk_source,2,0.0032337157,Allee,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:a79e744a07ec,2026-01-01,Tigray,Southern,E/Alaje,0.002859219,0.029525768,0.34228867,0.21695167,0.096553005,critical,high_risk_source,1,0.002859219,E/Alaje,suspected poliovirus surveillance signal; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:d0aebf15f908,2026-01-01,Oromia,Shagar City,Gelan,0.0027728307,0.2575511,0.59903556,0.12682797,0.30212057,critical,high_risk_source,8,0.013875342,Melka Nonno,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:2083f1bc1156,2026-01-01,Somali,Liben,Dolo-Ado,0.002697265,0.040743224,0.28639248,0.15273225,0.07931702,critical,high_risk_source,1,0.002697265,Dolo-Ado,suspected poliovirus surveillance signal; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:2eb9798cdeb5,2026-01-01,Benishangul Gumuz,Kamashi,Mizhiga,0.0026944422,0.22087938,0.80537564,0.16227561,0.4119303,critical,high_risk_source,1,0.0026944422,Mizhiga,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:4278fdea0a08,2026-01-01,Oromia,Borena,Elwaye,0.0026944422,0.47447738,0.61625487,0.098440684,0.079511754,critical,high_risk_source,3,0.06703287,Moyalee,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:ET050503,2026-01-01,Somali,Korahe,Shilabo,0.0023949938,0.152037,0.3344462,0.108960114,0.22264448,critical,high_risk_source,2,0.0023949938,Shilabo,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:01955d264b98,2026-01-01,South West Ethiopia,Kefa,Sayilem,0.002351863,0.5422497,0.88799995,0.072409414,0.28453016,critical,high_risk_source,1,0.002351863,Sayilem,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:ET040197,2026-01-01,Oromia,West Wellega,Leta Sibu,0.002351863,0.39417595,0.756724,0.088450894,0.26049918,critical,high_risk_source,4,0.025295088,Leta Sibu,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:92c1accfb5a1,2026-01-01,Oromia,Maya City,Maya City,0.002337102,0.46803582,0.76891845,0.13967554,0.13761553,critical,high_risk_source,1,0.002337102,Maya City,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:cf71b7b1aee7,2026-01-01,Oromia,KELEM,Anfilo,0.0023325512,0.055300687,0.56059515,0.24570547,0.08831161,critical,high_risk_source,3,0.0041727084,Anfilo,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:d0af0a285af6,2026-01-01,Oromia,East Borena,Liban,0.0023242338,0.41517848,0.46458447,0.051107403,0.092461556,critical,high_risk_source,4,0.022674123,Madawalabu,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:c69942659ffd,2026-01-01,Sidama,North Sidama,Borricha,0.0021347327,0.2150086,0.47089657,0.29772675,0.12763318,critical,high_risk_source,4,0.016407011,Borricha,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:30d65da00e5e,2026-01-01,Sidama,East Sidama,Hoko,0.0021162068,0.5404383,0.49473593,0.07909294,0.06669065,critical,high_risk_source,5,0.0021162068,Hoko,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:ET041608,2026-01-01,Oromia,Buno Bedele,Dedesa,0.0021162068,0.68284416,0.48329553,0.060863227,0.051229883,critical,high_risk_source,1,0.0021162068,Dedesa,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:1302cb556ee4,2026-01-01,Amhara,OROMIYA,Jile Timuga,0.0021090605,0.19772494,0.5741888,0.23894191,0.1470717,critical,high_risk_source,1,0.0021090605,Jile Timuga,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:e2fc45ec5763,2026-01-01,Amhara,North Shewa (AM),Minjar,0.00205936,0.03768382,0.34131032,0.35561168,0.08519311,critical,high_risk_source,9,0.014617951,Angolela,suspected poliovirus surveillance signal; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:798bba5f6493,2026-01-01,Sidama,Central Sidama,Arbegona,0.002008942,0.21836576,0.4289068,0.2438301,0.1261798,critical,high_risk_source,1,0.002008942,Arbegona,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:a8e3c8245fda,2026-01-01,Addis Ababa,Lideta,Lideta,0.0020080435,0.27614295,0.62165165,0.50018215,0.101235524,critical,high_risk_source,1,0.0020080435,Lideta,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:9706446bf9ce,2026-01-01,Oromia,West Shewa,Chelia,0.0019879437,0.20718946,0.3265041,0.30356178,0.1673075,critical,high_risk_source,5,0.09434032,Jeldu,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:ET040812,2026-01-01,Oromia,Arsi,ROBE,0.0019879437,0.28685424,0.645138,0.39514846,0.12138201,critical,high_risk_source,10,0.19695368,DEKSIS,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; prioritize immunization outreach
ETH:5780745a4af6,2026-01-01,Amhara,North Shewa (AM),Eferata,0.0019845737,0.23788168,0.704134,0.18037933,0.12595329,critical,high_risk_source,9,0.014617951,Angolela,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:ET041114,2026-01-01,Oromia,Bale,Berbere,0.0019845737,0.49032742,0.6620884,0.089923255,0.3229252,critical,high_risk_source,2,0.009682106,Dellomennaa,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
ETH:3ac54b092d71,2026-01-01,Oromia,JIMMA,Gomma,0.001983892,0.16215277,0.40086123,0.279385,0.4521566,critical,high_risk_source,2,0.001983892,Gomma,suspected poliovirus surveillance signal; poor stool adequacy risk; delayed AFP notification or investigation risk; lab result delay risk; under-vaccinated AFP signal,escalate surveillance review without treating it as confirmed outbreak; verify stool collection and specimen handling; strengthen AFP notification and rapid investigation follow-up; follow up lab reporting pipeline; prioritize immunization outreach
